participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Arthur,arthur,34,Fase de Grupos,2026-06-21,Tunísia,1,3,Japão,OK
Arthur,arthur,35,Fase de Grupos,2026-06-25,Japão,2,1,Suécia,OK
Arthur,arthur,36,Fase de Grupos,2026-06-25,Tunísia,0,3,Países Baixos,OK
Arthur,arthur,37,Fase de Grupos,2026-06-15,Bélgica,1,1,Egito,OK
Arthur,arthur,38,Fase de Grupos,2026-06-15,Irã,2,2,Nova Zelândia,OK
Arthur,arthur,39,Fase de Grupos,2026-06-21,Bélgica,3,0,Irã,OK
Arthur,arthur,40,Fase de Grupos,2026-06-21,Nova Zelândia,0,2,Egito,OK
Arthur,arthur,41,Fase de Grupos,2026-06-27,Egito,2,0,Irã,OK
Arthur,arthur,42,Fase de Grupos,2026-06-27,Nova Zelândia,0,3,Bélgica,OK
Arthur,arthur,43,Fase de Grupos,2026-06-15,Espanha,6,0,Cabo Verde,OK
Arthur,arthur,44,Fase de Grupos,2026-06-15,Arábia Saudita,1,2,Uruguai,OK
Arthur,arthur,45,Fase de Grupos,2026-06-21,Espanha,4,1,Arábia Saudita,OK
Arthur,arthur,46,Fase de Grupos,2026-06-21,Uruguai,2,0,Cabo Verde,OK
Arthur,arthur,47,Fase de Grupos,2026-06-26,Cabo Verde,1,1,Arábia Saudita,OK
Arthur,arthur,48,Fase de Grupos,2026-06-26,Uruguai,0,2,Espanha,OK
Arthur,arthur,49,Fase de Grupos,2026-06-16,França,1,1,Senegal,OK
Arthur,arthur,50,Fase de Grupos,2026-06-16,Iraque,0,4,Noruega,OK
Arthur,arthur,51,Fase de Grupos,2026-06-22,França,5,0,Iraque,OK
Arthur,arthur,52,Fase de Grupos,2026-06-22,Noruega,2,1,Senegal,OK
Arthur,arthur,53,Fase de Grupos,2026-06-26,Noruega,2,2,França,OK
Arthur,arthur,54,Fase de Grupos,2026-06-26,Senegal,3,1,Iraque,OK
Arthur,arthur,55,Fase de Grupos,2026-06-16,Argentina,2,0,Argélia,OK
Arthur,arthur,56,Fase de Grupos,2026-06-17,Áustria,4,1,Jordânia,OK
Arthur,arthur,57,Fase de Grupos,2026-06-22,Argentina,2,1,Áustria,OK
Arthur,arthur,58,Fase de Grupos,2026-06-23,Jordânia,0,1,Argélia,OK
Arthur,arthur,59,Fase de Grupos,2026-06-27,Argélia,0,1,Áustria,OK
Arthur,arthur,60,Fase de Grupos,2026-06-27,Jordânia,0,3,Argentina,OK
Arthur,arthur,61,Fase de Grupos,2026-06-17,Portugal,4,0,RD Congo,OK
Arthur,arthur,62,Fase de Grupos,2026-06-17,Uzbequistão,1,2,Colômbia,OK
Arthur,arthur,63,Fase de Grupos,2026-06-23,Portugal,2,0,Uzbequistão,OK
Arthur,arthur,64,Fase de Grupos,2026-06-23,Colômbia,3,0,RD Congo,OK
Arthur,arthur,65,Fase de Grupos,2026-06-27,Colômbia,1,2,Portugal,OK
Arthur,arthur,66,Fase de Grupos,2026-06-27,RD Congo,1,1,Uzbequistão,OK
Arthur,arthur,67,Fase de Grupos,2026-06-17,Inglaterra,1,1,Croácia,OK
Arthur,arthur,68,Fase de Grupos,2026-06-17,Gana,2,0,Panamá,OK
Arthur,arthur,69,Fase de Grupos,2026-06-23,Inglaterra,2,0,Gana,OK
Arthur,arthur,70,Fase de Grupos,2026-06-23,Panamá,0,3,Croácia,OK
Arthur,arthur,71,Fase de Grupos,2026-06-27,Panamá,0,4,Inglaterra,OK
Arthur,arthur,72,Fase de Grupos,2026-06-27,Croácia,1,1,Gana,OK
Arthur,arthur,73,16 avos,2026-06-28,South Africa,1,2,Canada,OK
Arthur,arthur,74,16 avos,2026-06-29,Brasil,2,1,Japan,OK
Arthur,arthur,75,16 avos,2026-06-29,Germany,3,0,Paraguay,OK
Arthur,arthur,76,16 avos,2026-06-29,Netherlands,3,2,Morocco,OK
Arthur,arthur,77,16 avos,2026-06-30,Côte d'Ivoire,1,1,Norway,OK
Arthur,arthur,78,16 avos,2026-06-30,França,3,0,Sweden,OK
